sim,total_net_income,default_rate_annual,lgd,margin_shock,macro_factor
3037,-230692.98592640832,0.056055491642138994,0.4736436811315131,-0.00791105656283336,0.17832958726323747
3038,2020356.7034229562,0.06368851601231304,0.7246194932912732,0.016190653608161333,-0.12721579085987272
3039,-1329921.4117216207,0.07164499330125021,0.6155894376898847,0.007444058316168929,-0.24435765596180517
3040,-18780153.63541213,0.07152243092253925,0.639899253650831,-0.025793157104198272,-1.298431969096525
3041,-11306347.20123608,0.08535349089773725,0.519414294590673,-0.01227887113697256,-1.1035595309758999
3042,-9305734.750335164,0.06701869387876902,0.33739048304302244,-0.03,-0.7855924812829784
3043,-2026220.942428153,0.07221316772915433,0.5768344851247369,0.0036026035414166895,-0.00626897359185945
3044,9098609.505576834,0.08862136869237852,0.23813434365722747,0.00530101047871836,-0.5452514686675594
3045,-28979258.409618374,0.1209255412600201,0.5123691502526374,-0.03,-1.9323059563591691
3046,19385004.678686768,0.01,0.2,0.006770009357373528,1.5005746443549572
3047,16427813.108612765,0.07032165130810275,0.2,0.012919956478846086,0.4914402948644716
3048,4933677.171825503,0.04695104616847319,0.2,-0.014742436422654347,-0.8248305767575925
3049,2165149.4585633166,0.0495914505796672,0.3254230982800805,-0.013531497587034572,0.5504131896912926
3050,-596073.075956793,0.048997401176145254,0.2,-0.02539266591668453,-0.0005295135058651056
3051,7818608.073730749,0.025396249731348308,0.47122535053471626,-0.00639542717061671,-0.28088345910777934
3052,-28194110.725903578,0.0874817690351581,0.7968027248684064,-0.020682509508284593,-0.8332590248821742
3053,-14522166.350762704,0.06602871771077679,0.6401805160413128,-0.020774034123894163,-0.9893550551121234
3054,-9763898.118019331,0.059699251766909336,0.5379753078941388,-0.021411072885685903,-0.45220539305766
3055,8945060.283734443,0.02356662782817739,0.3691082506387451,-0.0074112426614181895,0.08576644394783836
3056,-8540121.198713876,0.09998893816721402,0.43681655441471146,-0.007403418947639663,-0.12314640509362498
3057,-6899871.580155885,0.08518835138041113,0.5709008207120738,0.0008343565578734569,-0.9334603580065122
3058,11906849.856076669,0.050847290206229676,0.3670617008831144,0.00847779254054931,1.0920604167800927
3059,21893265.473726742,0.03125868707708026,0.2957920181733401,0.01903260108343192,0.8095455155501244
3060,-165944.87213090342,0.02962228885432173,0.4656257525017375,-0.02053898920564439,-0.5964134084109316
3061,15705818.41689167,0.02572968997675538,0.49629571448239984,0.010181171704207776,-0.22964024379783995
3062,-7865712.7597710155,0.07965751866065468,0.35813144197845714,-0.021203563497175903,-0.6253457927715216
3063,16331377.156979077,0.026222346224080297,0.456075454984432,0.010622122798864922,0.8225402501616955
3064,5268024.620468459,0.0523027777238906,0.2,-0.013003395214284966,-0.5487742905595374
3065,12973539.622097839,0.03930435809300248,0.3375021151326903,0.005212383234516705,0.533776273858507
3066,-11315999.164388783,0.05848040356289836,0.5422411113428546,-0.02492151930905292,-0.857417446351554
3067,27346327.20736582,0.028456639576469985,0.3270711413502388,0.03,1.0141732622482986
3068,-15165856.17912635,0.05525951507908733,0.7484162694618854,-0.022974592230489345,-1.8360815355329978
3069,15865931.710986694,0.08260633118369018,0.24456388954071404,0.017934389076944973,-0.5880637541207111
3070,18050885.86428894,0.04640173398942634,0.4146975954064392,0.02134445923668212,-0.22122565065107855
3071,-28627316.175692365,0.08133065387031882,0.7531555377515449,-0.03,-2.1131504474535348
3072,16225934.755526867,0.01389580449646096,0.5492721200139177,0.006084447506123775,-0.360530097429241
3073,9916021.866333442,0.027551841166742363,0.2485359595435893,-0.007320332985764229,1.1986721970633665
3074,4579468.652621096,0.0425113013697051,0.46829826555852105,-0.0049330939966892905,-0.7161638631726466
3075,27006264.2321183,0.01,0.45745306465810043,0.0245870591108176,0.13315757968305095
3076,16297931.144734703,0.01,0.5903534948720267,0.004499397238189661,0.13350322220673247
3077,10425771.919042613,0.05422863732740525,0.23858355515793594,-0.0002103950769721097,-0.3936867839234699
3078,17174563.90542949,0.042419397289991244,0.4040003141896711,0.017486577643751892,1.2203826900269379
3079,9659946.212240666,0.05505235496261416,0.5646439030075108,0.016404869000326762,-0.0386521783910853
3080,13823797.261539016,0.023745290936725085,0.43761445104384566,0.004038876981229412,-0.3628372006334877
3081,23874186.54495999,0.058572617583642544,0.2774611683842287,0.03,0.5577096429636826
3082,17836983.762524605,0.024282214342144226,0.2564306906680821,0.007900672519755665,0.25161225310035673
3083,4508216.978397044,0.03374335082747115,0.25185068084404694,-0.016485280163347743,0.18647871772474653
3084,17042838.354774244,0.049585340990328186,0.4384242977008229,0.02182509500948891,0.24730288909645481
3085,-14719730.23153484,0.09632197606564757,0.3471633559539855,-0.03,-0.7331462480638534
3086,-12429196.176723719,0.06547391412965128,0.5846362702033374,-0.020579967401074515,-1.9279430779585636
3087,-17345754.832154334,0.09056516436846343,0.6468856648756456,-0.010106203097243064,-0.44242757477962213
3088,-11352720.34386335,0.0670068820216174,0.6167687636445046,-0.015377688907580556,-1.2724028579180418
3089,9966084.51014594,0.03806786184491586,0.29942496117615186,-0.0026693629247350977,0.15514812822643081
3090,6743916.229082046,0.04102509528215217,0.7862782626462765,0.01174497310151267,0.1839692666338304
3091,5631722.167415157,0.034047735686243454,0.5989047747040829,-0.0023452041948158454,0.14994219622025123
3092,-17437907.75872273,0.053407342917664864,0.7546920297825638,-0.02856971948561953,-1.0915294565655804
3093,13654466.450487252,0.054487444704140214,0.4968182901389698,0.02037929201292716,0.5343141282719811
3094,20539919.76355142,0.015239015482179118,0.2,0.010127642623538678,0.947711756591868
3095,-1772967.6953932326,0.06894192675122131,0.3943455794807537,-0.010358991335556417,-0.20459297463661533
3096,11236406.590769306,0.044276427189070315,0.2492286986593336,-0.0004922304888446516,-0.4330662059269771
3097,23734676.167935826,0.03234995051018339,0.5109945271454045,0.03,1.794315865242568
3098,-22532465.50384752,0.07100454497171187,0.7806937285083639,-0.023632128052689494,-0.7718335526467314
3099,-20919453.740329932,0.08859505703822806,0.6305818611808652,-0.019972471522069112,-1.5022274165792362
3100,27186967.229545712,0.010748030444775153,0.5356360516480261,0.02613096704952353,1.2397229643551753
3101,9417791.580040425,0.050152884553740174,0.3915562441247476,0.004473258267965433,0.11175469744145972
3102,-2222761.920630307,0.06736507986168416,0.2776814927735841,-0.01973948790445645,-0.6918867910135653
