sim,total_net_income,default_rate,lgd,margin_shock
0,35101.30763113126,0.09838544665886396,0.2410454128730876,0.017610944050854994
1,-43827234.36028388,0.14727820721079665,0.5923334056411972,-0.03
2,-2600483.648865033,0.10014172910069975,0.25468904799491,0.010762034789819058
3,-3699534.6827986976,0.05255243707082535,0.3145374237528792,-0.01121841547030427
4,-1566814.3056484852,0.09528586386383064,0.21261252501193784,0.0045088645955459195
5,-4515124.740485477,0.09933088944717303,0.2156803635386883,-0.004799725510262432
6,-10041528.729414305,0.09630979327962062,0.35784859857927964,-0.0008893106313237153
7,1223617.618879634,0.06215757387728689,0.2,8.93442882950668e-05
8,-9541818.503485352,0.10862949177697047,0.35304030751880594,0.008721873132293577
9,-18640483.80108902,0.10168547325955496,0.5504444137450039,0.007589311041103555
10,-530023.2674700823,0.05327597901805338,0.4299416587661824,0.013794458209457192
11,-135592.33924906142,0.072704178676152,0.2413997851424382,0.00481230511386707
12,3039531.0534752924,0.06554812517377856,0.27724981662596776,0.01852905139322629
13,-36845801.891596936,0.11507607556236565,0.6383318219512794,-0.029642392406162444
14,-4605762.004415577,0.050481160354725704,0.5750215803499091,0.009802424779489356
15,-29871949.63626949,0.1197122337666944,0.5571153502976575,-0.015508936831525185
16,-832627.0633894419,0.048069700674284496,0.3804418973901361,0.003519620992895416
17,-11278396.01701099,0.06816656301236704,0.5194766018346293,-0.003893490206448673
18,-13886899.597712297,0.08589240884903196,0.476888567494568,-0.003238081404757982
19,-9672387.998007964,0.08442241949302917,0.3421218873072244,-0.010417085589544708
20,-10121130.875931863,0.08671506810036744,0.41071330791609123,0.001061188289457037
21,-24684813.738041777,0.09137324412947614,0.6095437046914537,-0.0167350329306086
22,1651552.1465869518,0.06050202663208923,0.23599661750868836,0.005405989372001765
23,-32056363.049702,0.08988400459396487,0.7287150612695257,-0.026451602986024725
24,-30864920.16776487,0.12827038274372252,0.477999459870355,-0.03
25,-5567233.1267975755,0.05698379261782483,0.5010399969465056,0.005082019066833035
26,-31042528.000452254,0.1024880874376419,0.6612417882192987,-0.01799799959172915
27,-964659.2686813809,0.10419557349109215,0.23525587614466517,0.015245840776419679
28,-24907777.301376246,0.12487655071633352,0.4530162914876107,-0.015890706957654814
29,-115090.35531432275,0.07507748131453525,0.2,-9.44612086326202e-05
30,-14013993.624511378,0.09525351024553941,0.4753060465619494,0.004747374675933287
31,559285.1578103872,0.055861944166756966,0.2,-0.005001391838087503
32,-30255649.32929349,0.11367011102079838,0.5353089251874179,-0.028516735151689687
33,-15026848.810640786,0.07311284693040115,0.5765356664788133,-0.005380066271670694
34,9584147.511915125,0.05457519154751536,0.2,0.03
35,-23968156.36248084,0.0951319217978545,0.7113633006320679,0.00964664621763649
36,-27086631.793240152,0.10507650329680952,0.5914766199934449,-0.013487807034268842
37,-1167309.1455676425,0.056124968262425294,0.3097724017418125,0.0004288811643263157
38,-28706360.022802558,0.12307564938124127,0.5924518671756959,0.001318711280339504
39,-9207017.626239628,0.054691412187229074,0.4692772749286447,-0.014915275500177929
40,-10521300.936614545,0.1151645338810639,0.2,-0.02526497396134356
