total_net_income,credit_loss,liquidity_loss,Z_sys,default_rate,lgd,margin_shock
53805472.025427476,0.0,0.0,0.30471707975443135,0.06838544665886397,0.2410454128730876,0.017610944050854994
46679359.22430489,0.0,0.0,0.5862223313592781,0.02234980111239765,0.20303017730963005,0.0033587184486098794
40672276.687634565,0.0,0.0,-0.38980980315576796,0.0893874161280449,0.336420442862036,-0.008655446624730872
-6980436.253797933,41362161.58258585,0.0,-1.107045682043488,0.09179629203757828,0.4136216158258585,-0.021236549342424072
40605798.63108207,0.0,0.0,-0.24527784594210975,0.03659012699773148,0.3541185627358827,-0.008788402737835767
37138685.15452439,0.0,0.0,0.06654581585920483,0.0649440470361262,0.2271212069141008,-0.015722629690951288
30433890.419215906,0.0,0.0,-0.45769943095682564,0.05617732112758716,0.23100871842984133,-0.029132219161568145
20771688.415126413,29813127.87880329,0.0,0.4278904406949172,0.04627899079520935,0.2981312787880329,0.011169632587859375
-53930587.110889465,90000000.0,0.0,-0.7194802332847904,0.09856620278908826,0.9,-0.01786117422177895
54106408.16490055,0.0,0.0,0.7394126723009475,0.03968052236379791,0.42825516779906003,0.018212816329801138
31225498.986272626,24442917.29989879,0.0,-1.040586052512433,0.1258116804025376,0.2444291729989879,0.02133683257234294
40017711.52597453,0.0,0.0,-0.45884049314930064,0.06857673568829456,0.39770828598760233,-0.00996457694805101
52975494.52970531,0.0,0.0,2.0487556508632867,0.01,0.2,0.015950989059410496
57098462.41254763,0.0,0.0,0.2732040228521227,0.07129425540368013,0.45059904106905196,0.024196924825095088
43969927.513673134,0.0,0.0,0.9476496098482997,0.057839357517515524,0.49229854321773564,-0.0020601449726537304
45192244.096205644,0.0,0.0,-0.35569831557103465,0.04894465545211303,0.9,0.00038448819241124313
60000000.0,0.0,0.0,0.7562481636298061,0.02684769339549129,0.5237809143536158,0.03
-10589254.978045955,53653330.52317991,0.0,-1.5927942597215277,0.10143451366665915,0.5365333052317991,-0.0038718489097321097
23214689.4823412,0.0,34202267.09474585,0.037227836421576635,0.051357094446443236,0.39528666044849003,0.024833913154174173
34180748.298743315,0.0,0.0,-0.6505636204055921,0.07801085863634837,0.5904624634402227,-0.021638503402513318
60000000.0,0.0,0.0,0.6620815345817527,0.022327464706935123,0.22815190436256416,0.03
50223031.601139635,0.0,0.0,0.27009543419728654,0.035301944993820826,0.2,0.010446063202279211
52071286.30151379,0.0,0.0,-0.18249984265026167,0.04008819876319865,0.6558997682784844,0.014142572603027679
6436863.041236199,32810804.056356452,0.0,-0.8537592225874118,0.055516341252952836,0.3281080405635645,-0.011504665804814738
47722161.73988927,0.0,0.0,-0.1703884233561112,0.10283869116873584,0.31537415189924667,0.005444323479778675
11391079.592945576,35579632.08950568,0.0,-0.17383770009461635,0.0702521803889861,0.3557963208950568,0.003941423364902639
25491902.097343255,23164517.322614033,0.0,0.388474200851541,0.083523641848365,0.2316451732261403,0.0073128388399147275
30850200.613822207,0.0,0.0,-1.3383824113238445,0.051056612833397345,0.7804900759142362,-0.028299598772355522
36348605.30207963,0.0,0.0,-2.4363756632473224,0.11907950023643372,0.5518071325407428,-0.01730278939584073
32555991.649264723,0.0,0.0,-1.1183058172065439,0.08015449804922131,0.41183452567388357,-0.024888016701470592
-22172731.58228624,20000000.0,32172731.58228624,0.5518587715312919,0.10731788582829668,0.2,-0.03
26309338.307162262,0.0,22365606.82689339,0.48866852446730713,0.03676319812531784,0.4402501786892561,0.007349890268111444
38692052.79469414,0.0,0.0,-0.9943351084951194,0.05351888383367983,0.42560551064887614,-0.012615894410611759
42865878.73681783,0.0,0.0,-0.7981533577548339,0.060231717410846375,0.42209771291565035,-0.004268242526364337
-32412563.896385424,72162006.98035434,0.0,-1.0775832476037126,0.0774090125455722,0.7216200698035433,-0.010501113832062146
-35040352.5414429,55530129.57504888,22077265.532777786,-0.03909892121655298,0.05283773216038802,0.5553012957504888,-0.004865914867232486
55611422.13406428,0.0,0.0,-0.4346994737231341,0.049664736923818426,0.5301507419683892,0.021222844268128562
-31023716.955972962,68092552.86606506,0.0,-0.8831996311551246,0.04842497221421464,0.6809255286606506,-0.01586232817981588
23521797.003201265,27028722.69225656,0.0,1.0275810705538218,0.05416653460757141,0.27028722692256557,0.011101039390915704
60000000.0,0.0,0.0,0.765955452726233,0.05317409998935693,0.2,0.03
53687554.085865006,0.0,0.0,0.389037590433763,0.05144981722760533,0.7086474740539525,0.017375108171730103
