scope,n,ni_mean,ni_p5,ni_min,credit_mean,credit_p95,credit_max,p_credit_gt_0,liq_mean,liq_p95,liq_max,p_liq_gt_0
ALL,10000,30348130.794863116,-28652168.283698227,-129484587.35028368,9934663.706594866,58215767.87146025,90000000.0,0.2241,4650664.590089611,43005375.784930795,70000000.0,0.1086
TAIL_WORST_5PCT,500,-51325486.22785863,-102834541.80702522,-129484587.35028368,52812970.86207055,87101178.3846654,90000000.0,0.822,34258072.05943128,70000000.0,70000000.0,0.588
