total_net_income,default_rate,lgd,margin_shock,A_loss,B_loss,C_loss,WH_loss
3650782.500727446,0.06838544665886397,0.2410454128730876,0.017610944050854994,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-34942233.275665924,0.11727820721079664,0.5923334056411972,-0.03,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
1219852.0710586198,0.07014172910069975,0.25468904799491,0.010762034789819058,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
1018526.6734944894,0.022552437070825358,0.3145374237528792,-0.01121841547030427,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
1622373.569530583,0.06528586386383065,0.21261252501193784,0.0045088645955459195,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-1279919.2874051537,0.06933088944717303,0.2156803635386883,-0.004799725510262432,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-4673799.750725109,0.06630979327962062,0.35784859857927964,-0.0008893106313237153,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
4223617.618879634,0.03215757387728689,0.2,8.93442882950668e-05,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-4246213.890703261,0.07862949177697047,0.35304030751880594,0.008721873132293577,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-10383817.594913963,0.07168547325955496,0.5504444137450039,0.007589311041103555,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
5919101.614022653,0.023275979018053377,0.4299416587661824,0.013794458209457192,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
3485404.4378875103,0.042704178676152005,0.2413997851424382,0.00481230511386707,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
7198278.302864808,0.03554812517377857,0.27724981662596776,0.01852905139322629,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-27270824.562327743,0.08507607556236566,0.6383318219512794,-0.029642392406162444,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
4019561.700833059,0.020481160354725702,0.5750215803499091,0.009802424779489356,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-21515219.381804634,0.0897122337666944,0.5571153502976575,-0.015508936831525185,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
4874001.397462599,0.018069700674284497,0.3804418973901361,0.003519620992895416,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-3486246.989491555,0.03816656301236703,0.5194766018346293,-0.003893490206448673,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-6733571.085293782,0.05589240884903197,0.476888567494568,-0.003238081404757982,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-4540559.688399596,0.054422419493029166,0.3421218873072244,-0.010417085589544708,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
