sim,month,outstanding_open,A_open,B_open,C_open,WH_open,A_close,B_close,C_close,WH_close,interest_income,funding_cost_A,funding_cost_B,funding_cost_C,funding_cost_WH,funding_cost_total,net_before_principal,principal_repay_total,principal_repay_A,principal_repay_B,principal_repay_C,principal_repay_WH,default_rate,lgd,margin_shock,default_loss_end
0,11,83333333.33333328,55555555.55555554,18518518.518518522,9259259.259259233,0.0,54444444.44444441,18148148.148148153,9074074.074074049,0.0,747298.2225753814,231481.48148148134,108024.69135802472,77160.49382716027,0.0,416666.66666666634,330631.55590871506,1666666.6666666667,1111111.1111111112,370370.3703703707,185185.1851851848,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,12,81666666.66666661,54444444.44444441,18148148.148148153,9074074.074074049,0.0,53333333.3333333,17777777.777777784,8888888.888888864,0.0,732352.2581238737,226851.8518518517,105864.19753086423,75617.28395061707,0.0,408333.333333333,324018.9247905407,1666666.6666666667,1111111.1111111112,370370.37037037074,185185.1851851848,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,13,79999999.99999994,53333333.3333333,17777777.777777784,8888888.888888864,0.0,52222222.22222219,17407407.407407414,8703703.70370368,0.0,717406.2936723661,222222.22222222207,103703.70370370374,74074.07407407387,0.0,399999.9999999997,317406.29367236636,1666666.6666666667,1111111.1111111112,370370.3703703708,185185.18518518482,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,14,78333333.33333327,52222222.22222219,17407407.407407414,8703703.70370368,0.0,51111111.11111106,17037037.037037045,8518518.518518494,1.4584115210999833e-08,702460.3292208584,217592.59259259238,101543.20987654326,72530.86419753065,9.934107462565105e-11,391666.6666666664,310793.662554192,1666666.6666666667,1111111.111111111,370370.37037037086,185185.18518518482,3.170459828478227e-10,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,15,76666666.6666666,51111111.11111106,17037037.037037045,8518518.518518494,1.4584115210999833e-08,49999999.99999995,16666666.666666673,8333333.33333331,0.0,687514.3647693507,212962.96296296275,99382.71604938277,70987.65432098745,0.0,383333.33333333296,304181.0314360178,1666666.6666666667,1111111.1111111112,370370.37037037086,185185.18518518485,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,16,74999999.99999993,49999999.99999995,16666666.666666673,8333333.33333331,0.0,48888888.888888836,16296296.296296302,8148148.148148125,0.0,672568.400317843,208333.3333333331,97222.22222222226,69444.44444444425,0.0,374999.99999999965,297568.4003178433,1666666.6666666667,1111111.111111111,370370.37037037086,185185.18518518485,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,17,73333333.33333325,48888888.888888836,16296296.296296302,8148148.148148125,0.0,47777777.777777724,15925925.925925931,7962962.96296294,0.0,657622.4358663353,203703.70370370348,95061.72839506177,67901.23456790105,0.0,366666.66666666634,290955.76919966895,1666666.6666666667,1111111.111111111,370370.3703703709,185185.18518518488,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,18,71666666.66666658,47777777.777777724,15925925.925925931,7962962.96296294,0.0,46666666.6666666,15555555.55555556,7777777.777777756,0.0,642676.4714148276,199074.07407407378,92901.23456790127,66358.02469135783,0.0,358333.3333333329,284343.1380814947,1666666.6666666667,1111111.1111111108,370370.3703703709,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,19,69999999.99999991,46666666.6666666,15555555.55555556,7777777.777777756,0.0,45555555.555555485,15185185.185185188,7592592.592592571,0.0,627730.50696332,194444.44444444415,90740.74074074077,64814.81481481463,0.0,349999.99999999953,277730.5069633204,1666666.6666666667,1111111.111111111,370370.370370371,185185.18518518488,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,20,68333333.33333324,45555555.555555485,15185185.185185188,7592592.592592571,0.0,44444444.44444437,14814814.814814817,7407407.407407386,0.0,612784.5425118123,189814.8148148145,88580.24691358027,63271.60493827143,0.0,341666.66666666616,271117.87584514613,1666666.6666666667,1111111.111111111,370370.370370371,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
